"BehaviorSpace results (NetLogo 6.2.0)"
"0011_final_ABM.nlogo"
"day-time"
"03/29/2021 11:22:19:596 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-60","60","-60","60"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12"
"recovery","14","14","14","14","14","14","14","14","14","14","14","14"
"infectious-capability","85","85","85","85","85","85","85","85","85","85","85","85"
"face-mask?","false","false","false","false","false","false","false","false","false","false","false","false"
"random-period?","false","false","false","false","false","false","false","false","false","false","false","false"
"action-mode","1. day-time","1. day-time","1. day-time","1. day-time","1. day-time","1. day-time","1. day-time","1. day-time","1. day-time","1. day-time","1. day-time","1. day-time"
"population","2","2","2","2","5","5","5","5","8","8","8","8"
"death-rate","1","1","1","1","1","1","1","1","1","1","1","1"
"mobility","9","9","9","9","9","9","9","9","9","9","9","9"
"incubation","7","7","7","7","7","7","7","7","7","7","7","7"
"[reporter]","100 * count turtles with [color = white] / (population * 1000)","100 * count turtles with [color = white] / (population * 1000)","100 * count turtles with [color = white] / (population * 1000)","100 * count turtles with [color = white] / (population * 1000)","100 * count turtles with [color = white] / (population * 1000)","100 * count turtles with [color = white] / (population * 1000)","100 * count turtles with [color = white] / (population * 1000)","100 * count turtles with [color = white] / (population * 1000)","100 * count turtles with [color = white] / (population * 1000)","100 * count turtles with [color = white] / (population * 1000)","100 * count turtles with [color = white] / (population * 1000)","100 * count turtles with [color = white] / (population * 1000)"
,"0.2","0.35","0.25","0.2","4.9","0.72","1.54","5.92","13.1375","11.875","13.225","7.8125"
,"0.2","0.4","0.3","0.25","5.6","0.94","1.86","6.66","13.4375","12.4375","13.575","8.7875"
,"0.2","0.45","0.3","0.25","6.4","1.16","2.2","7.36","13.5875","12.7625","13.775","9.6125"
,"0.3","0.5","0.35","0.25","6.88","1.42","2.56","8.02","13.6875","13.1125","13.9625","10.35"
,"0.45","0.65","0.35","0.3","7.56","1.78","3.14","8.66","13.7625","13.3","14.05","11.025"
,"0.45","0.65","0.35","0.3","8.34","2.14","3.56","9.22","13.825","13.4625","14.125","11.5625"
,"0.45","0.65","0.4","0.3","8.98","2.62","4.02","9.8","13.8875","13.55","14.15","12.15"
,"0.55","0.65","0.4","0.3","9.7","3.02","4.42","10.22","13.9375","13.6625","14.1875","12.6875"
,"0.6","0.75","0.5","0.3","10.3","3.52","5.26","10.74","13.95","13.7125","14.1875","13.1"
,"0.65","0.8","0.55","0.35","10.76","4.16","5.92","11.28","13.95","13.7375","14.1875","13.65"
,"0.7","0.9","0.6","0.35","11.34","4.76","6.54","11.78","13.95","13.7625","14.2125","13.8625"
,"0.75","1","0.6","0.45","11.82","5.5","7.04","12.16","13.95","13.7625","14.2125","14.05"
,"0.8","1.05","0.6","0.45","12.36","6.16","7.64","12.4","13.95","13.7625","14.2125","14.2"
,"0.95","1.1","0.6","0.45","12.7","7.02","8.2","12.74","13.95","13.775","14.2125","14.275"
,"1.1","1.15","0.65","0.5","13.1","7.74","9.02","13.08","13.9625","13.775","14.2125","14.325"
,"1.1","1.25","0.7","0.55","13.56","8.44","9.58","13.22","13.9625","13.775","14.2125","14.4"
,"1.2","1.3","0.85","0.6","13.6","9.18","10.32","13.34","13.9625","13.775","14.2125","14.4125"
,"1.35","1.45","0.85","0.7","13.76","9.86","10.8","13.54","13.9625","13.775","14.2125","14.4125"
,"1.45","1.65","0.9","0.7","13.9","10.54","11.22","13.68",,"13.775","14.2125","14.425"
,"1.6","1.8","1","0.75","14.04","11","11.48","13.68",,"13.775",,"14.425"
,"1.7","1.85","1","1","14.14","11.62","11.68","13.7",,,,"14.4375"
,"1.85","1.85","1.15","1.1","14.2","12.12","11.94","13.74",,,,"14.4375"
,"1.95","1.95","1.2","1.15","14.24","12.52","12.08","13.76",,,,"14.4375"
,"2.05","2.05","1.25","1.35","14.28","12.72","12.26","13.8",,,,"14.4625"
,"2.35","2.3","1.3","1.4","14.36","13.16","12.4","13.84",,,,"14.475"
,"2.45","2.4","1.4","1.5","14.38","13.52","12.54","13.86",,,,"14.475"
,"2.6","2.6","1.55","1.6","14.38","13.66","12.66","13.86",,,,"14.475"
,"2.85","2.75","1.55","1.85","14.38","13.76","12.74","13.9",,,,"14.475"
,"3.1","2.85","1.7","2.2","14.4","13.88","12.8","13.9",,,,"14.475"
,"3.55","3.1","1.8","2.45","14.4","14.12","12.86","13.9",,,,"14.475"
,"3.7","3.35","1.9","2.5","14.4","14.24","12.88","13.92",,,,
,"4.05","3.5","2.2","2.6","14.4","14.3","12.9","13.92",,,,
