"BehaviorSpace results (NetLogo 6.2.0)"
"0011_final_ABM.nlogo"
"experiment"
"03/29/2021 23:14:15:555 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-60","60","-60","60"
"[run number]","1","2","3","4"
"recovery","14","14","14","14"
"infectious-capability","85","85","85","85"
"face-mask?","false","false","false","false"
"random-period?","false","false","false","false"
"action-mode","2. night-time","2. night-time","2. night-time","2. night-time"
"population","8","8","8","8"
"death-rate","1","1","1","1"
"mobility","6","6","9","9"
"incubation","7","7","7","7"
"[reporter]","100 * count turtles with [color = white] / (population * 1000)","100 * count turtles with [color = white] / (population * 1000)","100 * count turtles with [color = white] / (population * 1000)","100 * count turtles with [color = white] / (population * 1000)"
"[final]","4.3875","8.175","13.125","13.7375"
,,"8.125","13.125",
,,"8.1375","13.125",
,,"8.1375","13.125",
,,"8.1375","13.125",
,,"8.1375","13.125",
,,"8.1375","13.125",
,,"8.15",,
,,"8.1625",,
,,"8.175",,
,,"8.175",,
,,"8.175",,
,,"8.175",,
,,"8.175",,
,,"8.175",,
,,"8.175",,
,,"8.175",,
,,"8.175",,
,,"8.175",,
,,"8.175",,
,,"8.175",,
,,"8.175",,
,,"8.175",,
,,"8.175",,
,,"8.175",,
,,"8.175",,
,,"8.175",,
,,"8.175",,
,,"8.175",,
,,"8.175",,
,,"8.175",,
,,"8.175",,
,,"8.175",,
,,"8.175",,
